Date,Date Processed,Description,Amount
29/03/2025,30/03/2025,GUZMAN Y GOMEZ          SURRY HILLS,34.4
29/03/2025,31/03/2025,WOOLWORTHS 4330 HARVEST ATWELL,13.15
29/03/2025,30/03/2025,WOOLWORTHS 4330 HARVEST ATWELL,41.98
30/03/2025,1/04/2025,WOOLWORTHS 4330 HARVEST ATWELL,13.25
31/03/2025,1/04/2025,WOOLWORTHS 4330 HARVEST ATWELL,43.62
1/04/2025,1/04/2025,8 YOLKS SUCCESS         Success,8.13
1/04/2025,1/04/2025,8 YOLKS SUCCESS         Success,8.91
1/04/2025,2/04/2025,BP THOMSON LAKES        SUCCESS,80.04
1/04/2025,1/04/2025,INTEREST CHARGES,5.59
2/04/2025,3/04/2025,KMART MULGRAVE          MULGRAVE,-19
2/04/2025,4/04/2025,WOOLWORTHS 4330 HARVEST ATWELL,8
2/04/2025,4/04/2025,WOOLWORTHS 4330 HARVEST ATWELL,26.6
3/04/2025,4/04/2025,HIKARU SUSHI & JAPANESE PERTH,13.2
4/04/2025,6/04/2025,DESI MARKETPLACE        SOUTHERN RIVER,65.81
4/04/2025,5/04/2025,OPTUS SPORT MACQUARIE P MACQUARIE PARK,50
4/04/2025,6/04/2025,SHASVAT PTY LTD         COMO,24
4/04/2025,6/04/2025,SPUD SHED               BENTLEY,40.05
4/04/2025,5/04/2025,WOOLWORTHS 4330 HARVEST ATWELL,9.75
5/04/2025,7/04/2025,APPLE.COM/BILL          SYDNEY,1.49
5/04/2025,6/04/2025,WOOLWORTHS 4330 HARVEST ATWELL,7.7
6/04/2025,7/04/2025,KMART BOORAGOON 1162    BOORAGOON,6.75
6/04/2025,7/04/2025,MCDONALD'S 1899         MUNDARING,26.08
6/04/2025,7/04/2025,WOOLWORTHS 4330 HARVEST ATWELL,2.3
6/04/2025,7/04/2025,WOOLWORTHS 4330 HARVEST ATWELL,21.05
7/04/2025,7/04/2025,SYNERGY PERTH           PERTH,128.76
7/04/2025,8/04/2025,WOOLWORTHS 4330 HARVEST ATWELL,8.7
7/04/2025,8/04/2025,WOOLWORTHS 4330 HARVEST ATWELL,27.44
8/04/2025,10/04/2025,CAIRO CAFE AND RESTAU 7 CANNINGTON,84.29
8/04/2025,9/04/2025,WOOLWORTHS 4330 HARVEST ATWELL,3.1
8/04/2025,8/04/2025,WOOLWORTHS 4330 HARVEST ATWELL,14.69
9/04/2025,11/04/2025,WOOLWORTHS 4330 HARVEST ATWELL,6
10/04/2025,11/04/2025,MyPerfectResume.com     Strassen,4
10/04/2025,10/04/2025,ONLINE PAYMENT RECEIVED - THANKYOU W2599,-5248.12
10/04/2025,12/04/2025,WOOLWORTHS 4330 HARVEST ATWELL,9.8
10/04/2025,12/04/2025,WOOLWORTHS 4330 HARVEST ATWELL,21.65
11/04/2025,12/04/2025,GUZMAN Y GOMEZ          SURRY HILLS,6.7
12/04/2025,14/04/2025,BUNNINGS COCKBURN CENTR JANDAKOT,26.72
12/04/2025,13/04/2025,DESI MARKETPLACE        SOUTHERN RIVER,61.26
12/04/2025,13/04/2025,KMART SUCCESS 1362      SUCCESS,13.75
12/04/2025,14/04/2025,KMART SUCCESS 1362      SUCCESS,17
12/04/2025,14/04/2025,SPUD SHED               MORLEY,43.02
12/04/2025,13/04/2025,TEMU.COM                PARRAMATTA,37.19
12/04/2025,13/04/2025,WOOLWORTHS 4330 HARVEST ATWELL,43.31
13/04/2025,14/04/2025,MYER PTY LTD Myer Pty L MELBOURNE,234
13/04/2025,14/04/2025,WOOLWORTHS 4330 HARVEST ATWELL,11
14/04/2025,15/04/2025,RAC INSURANCE PTY LTD   WEST PERTH,115.52
14/04/2025,14/04/2025,UNIQLO AUSTRALIA PTY LT MELBOURNE,159.9
14/04/2025,16/04/2025,WOOLWORTHS 4330 HARVEST ATWELL,50.79
16/04/2025,25/04/2025,AMAZON MARKETPLACE AU   SYDNEY SOUTH,76.04
16/04/2025,18/04/2025,DESI MARKETPLACE        SOUTHERN RIVER,7.49
16/04/2025,18/04/2025,DESI MARKETPLACE        SOUTHERN RIVER,66.83
17/04/2025,19/04/2025,KMART BOORAGOON 1162    BOORAGOON,19
17/04/2025,19/04/2025,MYER GARDEN CITY        BOORAGOON,0.5
17/04/2025,19/04/2025,SUSHI HUB BOORAGOON     BOORAGOON,9.6
17/04/2025,19/04/2025,WOOLWORTHS 4330 HARVEST ATWELL,6
18/04/2025,19/04/2025,AAMI PI REALTIME        BRISBANE,123.56
20/04/2025,21/04/2025,LOCAL FRESH FREMANTLE   FREMANTLE,5.5
20/04/2025,20/04/2025,NGAN NGA FRESH FRUIT &  Girrawheen,3
20/04/2025,21/04/2025,PRETZEL AUSTRALIA - FRE FREMANTLE,9.03
21/04/2025,22/04/2025,WOOLWORTHS 4330 HARVEST ATWELL,4
22/04/2025,23/04/2025,WOOLWORTHS 4330 HARVEST ATWELL,9.8
23/04/2025,24/04/2025,AAMI PI REALTIME        BRISBANE,64.59
23/04/2025,24/04/2025,DISNEY PLUS             RICHMOND,15.99
23/04/2025,25/04/2025,DRACA FARM PTY LTD      WATTLEUP,16
23/04/2025,25/04/2025,MCDONALD'S 0983         SUCCESS,19.74
23/04/2025,25/04/2025,ORIGIN ENERGY           MELBOURNE,274.83
24/04/2025,24/04/2025,DISNEY PLUS             RICHMOND,-15.99
24/04/2025,25/04/2025,GUZMAN Y GOMEZ          SURRY HILLS,5.1
24/04/2025,26/04/2025,KMART SUCCESS 1362      SUCCESS,52
24/04/2025,26/04/2025,WOOLWORTHS 4330 HARVEST ATWELL,5.7
25/04/2025,27/04/2025,MCDONALD'S 0983         SUCCESS,0.5
26/04/2025,26/04/2025,8 YOLKS SUCCESS         Success,35.22
26/04/2025,28/04/2025,IKEA PERTH              INNALOO,79
26/04/2025,28/04/2025,MYER PTY LTD Myer Pty L MELBOURNE,122.46
26/04/2025,28/04/2025,SPUDSHED                INNALOO,14.9
26/04/2025,26/04/2025,UNIQLO AUSTRALIA PTY LT MELBOURNE,18
26/04/2025,28/04/2025,Y D P/L                 CANNINGTON,-79.99
27/04/2025,28/04/2025,BP THOMSON LAKES        SUCCESS,61.36
27/04/2025,28/04/2025,COTTON ON CLOTHING PTY  CANNINGTON,39.99
27/04/2025,28/04/2025,IKEA PERTH              INNALOO,60
27/04/2025,29/04/2025,NIB HEALTH FUNDS LIMITE NEWCASTLE,80.07
27/04/2025,28/04/2025,WOOLWORTHS 4330 HARVEST ATWELL,95.27
28/04/2025,29/04/2025,"PayID Payment Received Thank you",-50
28/04/2025,29/04/2025,WOOLWORTHS 4330 HARVEST ATWELL,22.5
28/04/2025,30/04/2025,WOOLWORTHS ONLINE 8843  BELLA VISTA,40.3
30/04/2025,1/05/2025,NANDOS AUSTRALIA        ABBOTSFORD,31.85
30/04/2025,2/05/2025,WOOLWORTHS 4394 GATEWAY SUCCESS WA,-12.5
30/04/2025,2/05/2025,WOOLWORTHS 4394 GATEWAY SUCCESS WA,-4.9
31/05/2025,01/06/2025,BP APPLECROSS           APPLECROSS,49.58
31/05/2025,01/06/2025,GUZMAN Y GOMEZ          SURRY HILLS,36.70
31/05/2025,01/06/2025,KMART BOORAGOON 1162    BOORAGOON,24.70
30/05/2025,31/05/2025,CSK 7 PTY LTD           PERTH,17.50
30/05/2025,01/06/2025,WOOLWORTHS 4330 HARVEST ATWELL,14.00
28/05/2025,29/05/2025,HIKARU SUSHI & JAPANESE FOOD,-2.74
28/05/2025,29/05/2025,HIKARU SUSHI & JAPANESE PERTH,13.70
28/05/2025,29/05/2025,WOOLWORTHS 4330 HARVEST ATWELL,1.83
27/05/2025,28/05/2025,AUST FEDERAL POLICE     CANBERRA,56.89
27/05/2025,29/05/2025,MCDONALD'S 0983         SUCCESS,35.95
26/05/2025,28/05/2025,NIB HEALTH FUNDS LIMITE NEWCASTLE,80.07
26/05/2025,27/05/2025,WOOLWORTHS 4330 HARVEST ATWELL,1.65
26/05/2025,28/05/2025,WOOLWORTHS 4330 HARVEST ATWELL,52.09
25/05/2025,26/05/2025,8 YOLKS SUCCESS,-6.34
25/05/2025,25/05/2025,8 YOLKS SUCCESS         Success,31.68
25/05/2025,26/05/2025,TEMU.COM                PARRAMATTA,46.96
24/05/2025,26/05/2025,SAN CHURRO BELMONT      CLOVERDALE,11.95
23/05/2025,24/05/2025,BP THOMSON LAKES        SUCCESS,30.50
23/05/2025,25/05/2025,WOOLWORTHS 4330 HARVEST ATWELL,3.80
23/05/2025,24/05/2025,WOOLWORTHS 4330 HARVEST ATWELL,5.17
22/05/2025,23/05/2025,AAMI PI REALTIME        BRISBANE,64.59
20/05/2025,21/05/2025,AAMI PI REALTIME        BRISBANE,123.56
20/05/2025,22/05/2025,KMART CAROUSEL - 1158   CANNINGTON,33.50
20/05/2025,21/05/2025,Live Payments*Boost Jui Cannington,9.80
20/05/2025,22/05/2025,MYER CAROUSEL           CANNINGTON,233.41
20/05/2025,22/05/2025,SPUDSHED                JANDAKOT,24.45
18/05/2025,19/05/2025,GELATO MESSINA HIGHGATE,-1.42
17/05/2025,19/05/2025,GM HIGHGATE PTY LTD 151 HIGHGATE,7.12
17/05/2025,18/05/2025,READING CINEMAS         SOUTH MELBOURNE,43.40
17/05/2025,19/05/2025,READING CINEMAS BELMONT BELMONT,9.50
17/05/2025,18/05/2025,WOOLWORTHS 4330 HARVEST ATWELL,-6.30
17/05/2025,18/05/2025,WOOLWORTHS 4330 HARVEST ATWELL,3.00
17/05/2025,18/05/2025,WOOLWORTHS 4330 HARVEST ATWELL,79.83
16/05/2025,18/05/2025,DESI MARKETPLACE        SOUTHERN RIVER,77.84
16/05/2025,17/05/2025,GUZMAN Y GOMEZ          SURRY HILLS,14.20
16/05/2025,18/05/2025,MCDONALD'S 1970         SOUTHERN RIVER,0.50
15/05/2025,16/05/2025,SUSHIA (CLOISTERS),-0.91
15/05/2025,16/05/2025,SUSHIA (CLOISTERS) 3812 PERTH,4.55
15/05/2025,17/05/2025,WOOLWORTHS 4330 HARVEST ATWELL,8.28
15/05/2025,16/05/2025,WOOLWORTHS 4330 HARVEST ATWELL,11.26
14/05/2025,15/05/2025,CSK 7 PTY LTD           PERTH,11.50
13/05/2025,14/05/2025,ATO PAYMENT             SYDNEY,398.70
13/05/2025,15/05/2025,MCDONALD'S 0983         SUCCESS,23.70
13/05/2025,14/05/2025,RAC INSURANCE PTY LTD   WEST PERTH,115.47
12/05/2025,13/05/2025,TEMU.COM                PARRAMATTA,-29.22
11/05/2025,12/05/2025,BP EXPRESS CARLISLE     CARLISLE,72.90
11/05/2025,11/05/2025,TEMU.COM                PARRAMATTA,53.32
